RX_DATA_0,RX_DATA_1,RX_DATA_2,RX_DATA_3,RX_DATA_4,RX_DATA_5,RX_DATA_6,RX_DATA_7,RX_DATA_8,RX_DATA_9,RX_DATA_10,RX_DATA_11
a240d008,a0688746,a06c000e,a607c485,a4e4c11b,a0824081,a2e10104,a342471c,a0804083,a1c1c340,a1a14492,a2c64189
a105082b,a0030009,a0620797,a1a25381,a3420a82,a5230295,a0620f1a,a5000713,a2e0c004,a2208510,a4e3c30d,a12fc085
a2429496,a085070a,a363c004,a1e4c29e,a0614501,a1c8c386,a0204200,a0a68006,a2818319,a0900b09,a3408791,a1048302
a0204e84,a0e20a02,a300cc85,a067cdbe,a1410492,a0608ab9,a2220705,a102458e,a0a34a0b,a1c3038b,a2434935,a3638682
a3014312,a08ac8a6,a2e300a3,a246cb2a,a0e6830d,a1c41585,a424c78b,a1239a0e,a064c084,a1005c0c,a161c18b,a006009f
a2c3cf06,a2e843a8,a787c111,a00b030a,a1014399,a2018787,a4a00480,a1600780,a1250910,a0260d9e,a1010105,a0618b25
a2408500,a126c408,a366c490,a2408a01,a3a04702,a285c12f,a0614522,a3a10d95,a3656b87,a007c687,a2868382,a0235281
a161c313,a0a1c403,a1045b09,a5c0018a,a1808601,a3048585,a2c94d06,a5e0002d,a2c40101,a02c0302,a2c0818d,a000848d
a0e1c115,a3c31b05,a0468301,a0a1c086,a0e1df8e,a2010386,a6214889,a1400507,a0038484,a5c1070f,a0e68b10,a060c08d
a0a1c415,a0070b35,a102c72b,a362c30a,a0e04084,a080c00e,a0c1cc05,a065088e,a1a00081,a0e40784,a180c21c,a14dc4b5
a600410b,a1c00083,a0c48011,a2a94616,a0a0d000,a1484409,a2415b97,a1050f01,a0420394,a0036200,a0348606,a2230188
a363c881,a046c081,a2249880,a287068d,a0c10105,a265003f,a221469b,a1028485,a3211400,a1839286,a1c41381,a528168f
a384c814,a2c54291,a0e08a34,a1cc0102,a3a10183,a1238a07,a483480f,a0004637,a344e20f,a3035222,a225d204,a0224113
a0821583,a0630580,a000c10b,a1818415,a1674484,a0a8808b,a1378c9a,a1278a18,a0c38d0d,a0414009,a064d99f,a0020188
a0068126,a180c31f,a3800080,a1010384,a2811800,a080c713,a1014089,a1260085,a1208192,a0834a82,a1224a8c,a0a4c001
a2e70104,a0c0818b,a4a38187,a2e0521e,a0e04f04,a043c082,a7610201,a0a14080,a4c0cf82,a4804081,a02441a9,a0a10802
a041001c,a024cb87,a3e6c686,a0c0c900,a2608099,a3060a0c,a1a34910,a1638825,a1210d04,a0c9dc2d,aa848095,a3850201
a3a1019d,a021c199,a106c113,a0400614,a0a0c000,a566518c,a1c20128,a2404388,a0a10080,a0098499,a267c0e7,a3208d06
a2c34485,a3014081,a2450381,a1808002,a1424805,a2404311,a008d31b,a0e0ca2b,a0428107,a0c0e381,a0454083,a007891a
a1a0c4aa,a3208904,a000c208,a0a2418a,a0098a1d,a1824154,a2c0c59e,a120858c,a004ca9a,a344841e,a1094393,a1604293
a5c0441a,a0608508,a2e08098,a001808f,a244c690,a0c74393,a0e02298,a8408a87,a1034a9e,a141c227,a2220ea0,a042820a
a0204300,a3600403,a001810c,a003c284,a0810515,a024c303,a042c396,a1a08413,a040c690,a0a44200,a008d382,a2c48086
a0a4c31c,a1248c05,a1200107,a4c3470b,a2030202,a268058b,a0060701,a0804d90,a5e34f01,aac1898a,a2805686,a717428a
a3204286,a4448080,a02244bf,a38d0287,a5024b83,a2290415,a3e40996,a1604203,a161002f,a2805090,a2a40707,a0204580
a0401007,a2414408,a4a2cf8c,a0629899,a0a344b4,a1205027,a0c00408,a0c14584,a2404341,a0800483,a3464b06,a2410480
a227c80b,a2418302,a0208598,a204012b,a1e3c183,a5620500,a041c391,a3808629,a0e00613,a080829d,a1e9810d,a1e080a5
a1059306,a280408e,a1a00604,a10bcf01,a0408010,a04244cc,a0218e80,a12a8916,a2a3431e,a182c808,a647029d,a2728603
a4604080,a1d20380,a2031d88,a270c713,a28b830d,a181878e,a0234a2a,a1a24202,a0041d98,a00144a7,a2c14001,a00a8a14
a1c14383,a0a2443a,af08c821,a7634022,a0424402,a0000086,a2614410,a1e15601,a182ee8b,a187c320,a280129f,a244c607
a2205433,a1400115,a0030506,a0ef0788,a1858893,a080c48e,a4458a88,a1c64a1c,a020020a,a0008083,a2a2c007,a2014e0c
a0408303,a2a00007,a5a0cd8a,a250181d,a0234384,a400842e,a0a64396,a3824f8c,a1464e0a,a0410f04,a004108b,a1a70906
a040d086,a0c34607,a0e0008c,a161d205,a960c181,a0449096,a0a50889,a020c105,a0a0cc89,a2e00610,a1460107,a1614408
a1e5c19f,a081c08f,a1244100,a241c1ab,a1868480,a0454700,a121c22d,a4224212,a0400606,a0468588,a1e04217,a0028186
a220c406,a023c38a,a4c04398,a2460086,a0c64404,a2614188,a3a3909a,a3438089,a0e20090,a0830193,a080c595,a0e4410a
a002cb16,a182811b,a040c381,a3008203,a4428100,a3804b85,a1408603,a1058796,a0a54786,a0a19a80,a08f4b8b,a0004012
a5628009,a0c1c288,a144918c,a3a20983,a1405110,a0254404,a641439e,a0050007,a0004590,a0a7051f,a202cb99,a2ef4b0b
a125508e,a1025597,a041812f,a1c311bc,a0068c89,a1e0c016,a1274784,a1610480,a4440085,a7040486,a340c182,a0e48910
a0464319,a0c09984,a4214318,a0828501,a283028b,a0420308,a06a453b,a4819e08,a1e18504,a0640102,a2c38681,a0214380
a5030b85,a1648500,a142028b,a2800b1c,a0a09712,a000440f,a2c54a15,a4664e83,a1414615,a142c198,a3e40813,a081d299
a1c0559e,a044c583,a4044886,a52d0414,a200469d,a0204a02,a3029796,a0a5c186,a2e61516,a1008a03,a0c34ca7,a1837180
a2316810,a284cd0e,a1c08400,a1234e0e,a1804f84,a0408c2d,a22484df,a1a0530d,a08a020a,a1040484,a1808290,a1410981
a0205200,a0239513,a340c60e,a0a08015,a2cec709,a2428f06,a1e38002,a040040c,a0008180,a1c4d19d,a1c24280,a081d282
a04b5c97,a226800a,a1c2df85,a2a2c190,a2ce8a95,a3224582,a5268b89,a4034180,a0c00482,a0980408,a3420e01,a1e18081
a02c0c98,a3054c91,a2634b84,ab23c280,a2e00f1b,a061800e,a0c2cca2,a1814106,a1210196,a881c4a7,a1828282,a4804188
a4c04409,a02483a1,a1418403,a1a31f09,a241d493,a261ca0a,a7808607,a064d282,a3044007,a0220c0e,a2a14a8a,a06b0e88
a0058109,a3446490,a101c806,a2004089,a2aa8909,a0020298,a66c4387,a029821c,a0404984,a1170587,a387c51d,a262880a
a0c1800a,a124c22b,a1828503,a264c116,a061c09a,a1c7c313,a1c09301,a6400385,a1060787,a1c08e01,a06a8050,a4208a8b
a3a60194,a3a08006,a100c507,a1adc3a0,a1a18002,a080ce02,a063ce00,a101c418,a0e1870c,a1030720,a1808381,a0400120
a025c101,a6414089,a0a6d40b,a0e3c781,a2e4c121,a0a04807,a2238283,a121000b,a0c00ba4,a0208431,a323d58e,a1a00b08
a024bf8e,a02e8f8b,a0474801,a163831a,a0004904,a312c3ab,a1238195,a000001b,a143c216,a1029b82,a0004208,a3218188
a1210409,a1204c85,a021420a,a0aa0000,a0a2931f,a1010584,a169048b,a2a0c882,a1844397,a3004a80,a1a0c323,a0800406
a2e7c888,a16a838e,a0e89886,a123438e,a0c20981,a2634100,a0630005,a031c003,a168408c,a161469d,a3a1c18a,a0840b22
a0aa801b,a1834280,a0020805,a0408f82,a1c08703,a500070c,a002a506,a2a0c404,a1c00703,a0434780,a6c10515,a262008f
a0270296,a043cb0f,a040cb9b,a364c0a1,a0a2c106,a1008004,a0604804,a5018983,a000c117,a1224798,a001111d,a5270624
a4244402,a342d488,a0c20127,a3a30802,a0e08284,a020c605,a6828d04,a2235407,a005da00,a2c0009c,a004448c,a367c9a3
a227c282,a1818485,a4648a0b,a2234c0c,a2a4c506,a0028002,a1600a93,a04a4602,a1888184,a1424483,a0a08487,a20080a3
a0250281,a0028886,a040c314,a00e902e,a1624204,a02ac11a,a225c201,a180c184,a58cc588,a963c200,a4259c00,a1b0829d
a2834d89,a2c00306,a2880385,a042c583,a1631700,a1018301,a4814623,a3604103,a1068507,a066103c,a2e28586,a0c0c189
a040c58a,a1810739,a0224a89,a1808203,a4504122,a228871a,a1a1c291,a0a2501f,a0054981,a2e40611,a2a28180,a1214284
a0658101,a0204300,a0e2c305,a12fcd8f,a4630581,a0008085,a1c88544,a2a4c489,a1460008,a1a00482,a1618193,a0e40486
a0c48005,a7404021,a0204288,a8604186,a0404088,a441028a,a063c818,a0218780,a2820617,a0024281,a2600906,a482800d
a1808120,a381421c,a2818300,a0600b15,a0870406,a2a4490a,a209c580,a0a08015,a2ca0502,a0c64d02,a001c217,a1e88219
a106c102,a102c600,a1e10582,a0a18388,a0200481,a0e0000f,a3628086,a6c14802,a6810285,a0a14290,a044c307,a1c4001a
a24905ac,a2890909,a28482c6,a4638b02,a3c28787,a3704288,a201c200,a280c684,a002040a,a1a84181,a2051d86,a027c98a
a481028c,a3c00383,a0034200,a348c094,a4eac509,a2014289,a0a08081,a3a10901,a2c48723,a1844184,a4220d8b,a0e58b95
a3241393,a022480f,a002059d,a046c481,a2254a11,a105cb90,a0c14184,a22ace10,a262c187,a0620101,a1424393,a5018390
a02c4318,a02109b2,a10240a9,a0421691,a28489ab,a0230206,a3a2c409,a0450193,a0c78295,a0618724,a100cc00,a3e14409
a1a0830e,a061880a,a1418687,a084c60e,a0e1028a,a0400000,a0630305,a026c988,a0e58801,a281c400,a091851e,a1ea4e04
a1008019,a0838384,a0a55082,a0818402,a3614c0d,a1858192,a0a05698,a3000b80,a2c65c0b,a264c002,a0420202,a200a385
a1410783,a4c04702,a1020798,a0ec478e,a30f8928,a3428711,a1498822,a2268280,a2e55100,a1ab8219,a4060e80,a0a0810e
a103c01c,a3838109,a1228114,a0e50484,a3608135,a2c40987,a3a2c31d,a381898e,a1a7859b,a2019201,a0014d8e,a145401c
a080cf85,a0828606,a1454110,a2498884,a0e1470e,a9a04319,a0c38393,a0a9849e,a1630584,a0864717,a0c0828a,a0011389
a0e6c498,a0009f86,a2060218,a0e4800c,a047c406,a1850606,a1600680,a4c04911,a0004584,a0834306,a1a54d1a,a0624d98
a126c123,a1200115,a0024784,a0818485,a00bc285,a065d33b,a2278197,a1408306,a044910e,a0244b31,a2818287,a0e64733
a020c403,a06c491e,a162170c,a0234084,a1210a8f,a0618c0a,a0480097,a008c11d,a4219106,a1e98006,a4c08919,a2e89812
a0e98105,a4420801,a0ca0520,a345c408,a1405614,a0c48089,a060c79b,a022c100,a000800d,a004850a,a102c986,a4e14182
a2c88001,a0e3c308,a2804006,a5a9028f,a1654103,a1010299,a0c01388,a000da09,a1234f9a,a0820702,a0668480,a0000104
a2020400,a047c58c,a1a14481,a2628b01,a1e04687,a0a04a0b,a0415e2e,a3a9c0b1,a304ca03,a0c645c3,a060c300,a024c38d
a1676780,a0608007,a06442a0,a041c383,a0614a1a,a164800c,a68a83a2,a08c4582,a0214d01,a5c68003,a1c40886,a2258491
a0804199,a2a0598a,a162c707,a33a8285,a0e4478f,a321491d,a3014d01,a223550b,a146d286,a004c38d,a1240021,aa22c81e
a0a54615,a5004726,a1231336,a0a383aa,a088d507,a2a0d501,a14c830b,a5220586,a00a498c,a2220306,a005108d,a2008501
a0208406,a0c20584,a4600010,a321c000,a353cc13,a302c186,a0314b8a,a0424880,a1004503,a120c08a,a142c80a,a3238313
a3ca4808,a0e0d51e,a1c1cf19,a0868505,a0c04192,a080c285,a8a0039a,a0a34b3d,a1218022,a141c183,a128c203,a1890b0c
a1a00b0e,a1818088,a080458a,a1e1002e,a0a2c088,a26340a7,a0814a32,a16684a1,a14a4310,a101820b,a181441b,a143cc8c
a429cc9f,a9269c84,a2ccc887,a1a40500,a2668415,a4404104,a102638e,a0cf0596,a52e8d0c,a0434195,a144558a,a0278520
a1614182,a1e08701,a0e00d24,a0e00083,a2430296,a0020083,a5e2c182,a2c10101,a0414100,a2438202,a1830293,a1624020
a4a2038d,a0408c03,a3684d03,a000838a,a1465285,a222c183,a081848f,a042430c,a6a7c984,a4c6c70e,a1a2c029,a0e702a2
a441c0a2,a1034385,a029891e,a0008c9f,a3c04289,a282dd84,a169411c,a140c20b,a0030211,a064c097,a460019c,a140878e
a0f0478d,a0020590,a0804412,a240c991,a0c34089,a1a544a8,a0c01406,a4e0c5a5,a8474380,a1a5c203,a0414195,a5810601
a149c011,a001c381,a0058782,a1a7c384,a06888a3,a0c04b03,a242051f,a1658307,a0250a0a,a1010204,a100c406,a0a04580
a041c118,a007c289,a5615705,a0c8400f,a026038a,a6200681,a1088241,a102431d,a182172f,a025c506,a0cac297,a008418b
a1814606,a008820f,a0811519,a3048188,a1a58b05,a041c20f,a3040304,a0445a07,a406c202,a4c1c6b0,a601478f,a1264013
a0629112,a168c214,a1e0ca99,a0a4038e,a0608584,a1828010,a0c59008,a3c24410,a8014083,a00c8321,a1e08816,a0614082
a163490c,a200d017,a0238f8b,a7e5068c,a0640610,a0074306,a840c415,a38a0100,a001c302,a441c808,a1840300,a1c10402
a1208907,a044400f,a0208d83,a0a1090f,a3c1c605,a3e1c907,a5620383,a360c316,a1854000,a025409f,a0204102,a2a0070f
a3a00500,a1e7df8b,a005a604,a201040b,a0009692,a300c315,a2c18480,a0258312,a4020695,a1000689,a1208601,a0840681
a2c3c183,a0a0c69f,a0210316,a082cd0a,a1a6868d,a4821000,a160cc02,a1870139,a223c701,a080c083,a4c2c0a0,a0808417
a103008e,a0e4960a,a064068a,a0004300,a0a0c32b,a14090a2,a12a010a,a628c78d,a1048a0e,a1224017,a660c30a,a1028c03
a040c204,a0838007,a062c515,a3ef4e8d,a2200189,a0e2c48c,a1614904,a1410281,a0a38010,a12d4a85,a3e39407,a001c302
a009c40a,a000ca86,a2e14387,a02c4787,a0ae0b0e,a182c680,a04d4400,a0810c8f,a380480d,a0060b03,a9604103,aba08a81
a1c74112,a286d102,a0238486,a203871d,a3810006,a4664385,a2aa8004,a1241785,a0c1c08b,a1600084,a2218008,a4c84326
a049051e,a2e28619,a0e85309,a9440f8c,a3610e00,a062010c,a0011d06,a2c10807,a1044795,a1010102,a0015291,a100d594
a0045312,a0458007,a28f0985,a023880c,a162c600,a0a2440f,a200ac00,a1234185,a7a2418a,a061c38b,a103419f,a4841a80
a1a65404,a1a3c215,a2830987,a2c6841d,a0e10700,a0c01586,a023dd0a,a2408784,a08009b6,a0e0030f,a182c489,a2628002
a2220213,a3280480,a8041311,a222cb02,a0628114,a2854891,a3414787,a1200280,a7466d03,a2f28412,a0214488,a1260091
a2e1ca13,a149429f,a1204086,a002c482,a1a0498e,a045830a,a02bc808,a3474601,a18102ac,a0e18902,a0404104,a4039301
a0001205,a5a3c205,a4c58602,a0864188,a268c08d,a0c25194,a1070318,a1104117,a0a2ca00,a0e38117,a302c181,a2858221
a0c44005,a0080109,a160c499,a269cb2e,a2e1c212,a0e70492,a0e50700,a0414606,a0e20c1a,a6818081,a0610311,a040c109
a0e1c281,a2854210,a0408190,a4614a02,a1a3c404,a0e0c985,a2800422,a2410102,a0a488b6,a061820a,a0c0ca82,a52ac109
a0c140a2,a085c283,a1c7c48a,a105930a,a1414103,a3410383,a1e1ce85,a3660204,a12000a1,a3600118,a0624485,a261c90f
a168c704,a0608003,a160c706,a3c44207,a184c013,a291c186,a12104ba,a0014a01,a0628087,a0604e0a,a221068d,a5e10592
a1c04088,a0210c01,a2416b84,a1c0028e,a1470b87,a06b0082,a0040406,a1820b52,a1a10f9d,a382428c,a1604504,a0030281
a1408195,a2a50091,a220009d,a0e55588,a0054987,a1c18481,a0408211,a2a5000f,a141c601,a1818207,a6820213,a5c0479d
a140c614,a0a2820b,a300c61a,a0644006,a0e05412,a1650b0d,a7660ab4,a2024181,a2cbc10c,a1a0041e,a6c1c720,a4c18210
a280c70a,a0238798,a0009b21,a0418000,a182988c,a0e542a3,a2424289,a24ad085,a4010228,a2ac823a,a1210488,a4868120
a121421f,a12149a3,a8c30015,a040ca8a,a0e1c685,a04a5101,a049040a,a424c690,a0214003,a0c7c234,a2014081,a143078c
a165c228,a1628c88,a1808704,a0c04786,a4e4020f,a3c84782,a140408f,a206838a,a3a8c51d,a028e38f,a0499385,a0414082
a20d028e,a1218005,a0ccd687,a126408a,a0618095,a702400a,a1214093,a2058200,a103800e,a4e7ca81,a0446480,a0211097
a1e14485,a0a1cb85,a044851a,a3c4c599,a000c286,a1014788,a1a3c18c,a0445915,a186809f,a0800880,a065448f,a04bc70f
a0c1c294,a027c682,a0e14088,a20107ae,a5cc150c,a1448500,a1604306,a6e05818,a4484297,a5600c9c,a006c280,a0028f05
a0e5c122,a086d00d,a7868c8c,a1c24885,a1e5960f,a103c081,a28a0b00,a343953e,a0690586,a0428091,a2614d82,a069d294
a102d103,a2230384,a0c10781,a32f4201,a0c2108f,a0e04185,a1260282,a2410104,a0810200,a461c606,a1400281,a0e14487
a1c54433,a081c207,a1445001,a580809a,a00004a5,a1260a90,a1a19906,a1a15285,a5a3810d,a1630a03,a0e28316,a2e1520f
a02b818b,a024c98c,a680c888,a062c591,a060038d,a0024003,a042c09f,a1038315,a0a28390,a1408f0c,a126cdb2,a46641bc
a1000205,a0e20d81,a266433d,a240c192,a024028a,a102420e,a002c018,a1e3451c,a1654417,a046c401,a124061b,a0a18b02
a3c40482,a0c100b7,a1018690,a2e1489e,a001c010,a2220501,a1220488,a0228288,a0214410,a1621408,a44040a1,a1c0c403
a04388a2,a146561d,a0850503,a2404c10,a3005783,a18d820e,a0018300,a4a39681,a002c702,a4024007,a0454302,a2a1ca2a
a0c2c101,a0010204,a083c080,a0a9d11b,a269c49f,a2418592,a4030b9f,a6a08401,a1a7c108,a0210111,a1a22724,a242ca8c
a042c017,a3a8d58b,a0e004a9,a0e0068a,a122c58b,a080d194,a063458a,a50e4212,a0a40202,a1244401,a1408349,a0019707
a160c304,a0e18084,a2c408a4,a0008616,a1c3c983,a002c1bf,a0229001,a122810f,a081c40c,a4a04610,a461838e,a484c211
a2a0888f,a0c04701,a2420b87,a0a8800d,a0020407,a0e08504,a3c68101,a6a10c8a,a264e087,a0a1c912,a380c681,a4204411
a520078a,a1234192,a4478e01,a1a48c8d,a1c104a1,a2830281,a2a69498,a3c48a84,a6008e11,a6e5c003,a4000585,a2200cb7
a0a08206,a2eb0123,a1e28f86,a346002a,a12bc298,a0c34188,a3e20222,a4400d83,a443c182,a025838d,a1c60320,a1e58188
a022c3a8,a0245106,a328c21b,a1800a9e,a0044000,a1210503,a0e51782,a145c982,a1e54482,a0c6909b,a1c0038c,a041809f
a1e04709,a0c4cc88,a18646b1,a2c1401a,a1c4c3a1,a3208087,a2010011,a1415281,a025460c,a0634788,a1e1c110,a021d880
a0008b19,a0a14397,a1e4872d,a062c785,a2024e21,a045009b,a0664a2f,a049829c,a207c30f,a0424303,a2008504,a5254001
a0888590,a045c20e,a0634383,a022c881,a0a15187,a009878c,a123080d,a2425285,a8c0420b,a0810005,a0c2178c,a0410106
a1828304,a2e50082,a1238205,a1830183,a0e381a9,a007000a,a0e04895,a127c283,a3a40286,a0450508,a160de80,a2e3460d
a043c501,a1238223,a3405227,a140c680,a081c49c,a1218300,a0c10597,a080cf0f,a1438909,a1c48907,a1608116,a0885618
a2408485,a2820305,a0260509,a062c28a,a360c119,a4a40105,a122000b,a02745b4,a1054000,a0010b30,a1630585,a2210085
a0220504,a3204409,a2480205,a1a4c483,a424000d,a0c14985,a0e20105,a0a6cb00,a740c30c,a303441f,a2230003,a0240816
a244400c,a361c740,a0e305ac,a3c40685,a0044001,a062c187,a0c1092c,a144179f,a1029103,a7028315,a0618012,a2664023
a56b0121,a021ce04,a004dd92,a1a20005,a3034b12,a0c2029f,a08b8d80,a18ac303,a122960e,a2401982,a126421e,a4000112
a3a28b01,a0804585,a006020e,a1000294,a0e0402a,a1604f8e,a28c8d04,a0228582,a5210590,a0a00306,a2050320,a1610387
a1008097,a1e08596,a4070615,a100850c,a2478883,a0820080,a0234094,a205ca0a,a0cfc18b,a5600004,a2420483,a002c283
a0eac188,a321c71c,a0010091,a0620001,a021d609,a3c0059d,a3c60081,a1848f95,a080d30a,a223848e,afe59982,a001402b
a1e3cc87,a0038f1a,a28c820c,a123c222,a1664605,a36e409b,a160c407,a0800000,a1200003,a001cb07,a0a0d184,a0040309
a8e1c001,a52100c2,a0e28c85,a384520c,a466c193,a300c01a,a0e2501e,a1a30481,a0c3c0a6,a201c618,a2204005,a100c28c
a0e40508,a14a06b8,a002da10,a101082d,a080d984,a1e381a3,a0a04507,a044430e,a025c186,a2428896,a0254280,a443c787
a0808503,a4029f82,a000c092,a7228005,a0c58391,a0214a83,a0400803,a3850e84,a4c4869d,a40941a3,a1c8df9f,a0aa4102
a021c0a2,a2e30212,a02adc80,a0045a19,a0671689,a2834185,a441010c,a0c20010,a0c24d80,a0e8c006,a2e38700,a0498201
a0c04737,a28c8522,a1820118,a1410392,a0010888,a0a7028c,a564c210,a5600302,a0e0c509,a2224b03,a2c18125,a2408300
a18c8116,a3610185,a141e58c,a1ef961e,a24b4115,a2268783,a3e1d14b,a720c907,a2a543a3,a1804f07,a5434004,a6838405
a0420c05,a3e08198,a7a1c00b,a025810c,a2224785,a4e0870a,a0424202,a040429c,a0c2c593,a361051b,a0038819,a3084111
a46b8580,a12143a3,a1e11083,a0c74c17,a3800294,a1624011,a32d808f,a3e0c180,a0e18906,a6e64604,a0c18281,a4cb4398
a3a04983,a466c199,a0248a87,a1c4c209,a062c08b,a2248c01,a2a41584,a3600a20,a1e38022,a100c606,a0800002,a102000b
a166c50c,a46ac491,a14e8203,a2070315,a3628593,a0058100,a3028a04,a1e35c8b,a2404985,a344039b,a1a18ac6,a2a04b01
a1688290,a227c080,ab254202,a2c1c425,a0678188,a0218506,a0e0030b,a503c606,a3aa619f,a14fc19c,a201068d,a164490e
a062488e,a4824585,a5229505,a141c400,a1a90214,a1638002,a085d18d,a2e3e5a9,a2c0d505,a1e70f09,a3e38b10,a0e24086
a0e38a20,a2004987,a10d1005,a3e28c30,ad060608,a2824197,a0824b0c,a1800404,a0464a83,a061c804,a241ce83,a107052e
a0e1410c,a0631791,a0a1e5c0,a186850e,a2a10385,a161458e,a000c8a2,a0a1421a,a06a0d85,a205850d,a22b4499,a7a08094
a423c682,a0614286,a0e50a87,a0024187,a0e54091,a1c31812,a1820385,a027020c,a147c080,a3c14392,a523090e,a142c316
a4e08482,a2034189,a064c686,a2e1900a,a203018c,a001018b,a0614403,a080c30f,a1050501,a2e049ca,a2410c0f,a0a58500
a0224104,a1a60210,a043caaf,a1814088,a3440596,a1a28585,a1c14c0d,a0ca068d,a1824695,a1c30a92,a0844782,a1444182
a2a0c983,a203c501,a1a94d82,a1248480,a5408392,a0e30403,a1a5c29d,a3014403,a207c608,a0248101,a1e1cb94,a061808a
a1c30082,a061cb89,a0600480,a120120f,a7c78006,a2450006,a3614016,a262c2a0,a060c480,a5ae4007,a1030718,a0a10312
a000808a,a120439c,a1808880,a181c101,a027c201,a6c3411c,a024c888,a3a0c682,a2e5023f,a0304315,a24b8094,a2829192
a600428e,a101c18e,a1248c10,a1020082,a0408787,a64183a0,a1a24a14,a54b841e,a0804519,a1e3c615,a002cfa0,a1c28012
a3ed4d2d,a0858911,a4424b06,a501c830,a360d403,a001c69b,a2a24a06,a0430087,a080c016,a1458301,a0c15403,a0a54883
a06bc400,a0c64404,a1269516,a3a00c9b,a0008285,a0a20100,a2299883,a084158d,a56802a8,a0204200,a02206a3,a062000d
a0a2408e,a063c710,a0828b89,a2210100,a0088286,a162c783,a3220a8d,a2000102,a1c3c4af,a6e09701,a5064185,a2018c80
a0808585,a006c114,a0040300,a0e24403,a0250107,a2218600,a3244d87,a2200002,a3210492,a0e3c821,a181d384,a184d18f
a341450c,a2414902,a462ce84,a0ab8715,a5020183,a161008a,a6415700,a1850513,a4608004,a1240685,a0e04407,a0458b81
a0a2ca10,a0200722,a1678b0f,a10dc212,a0c10e85,a3608385,a6200a05,a126450f,a720d701,a0e2468b,a2c24281,a1094086
a0a64616,a184c608,a0441034,a0a30592,a1024395,a007c182,a12203be,a0e24387,a0c54695,a020cb8f,a0c7058d,a0e9049e
a002c50d,a4e1c285,a120409d,a060c11c,a1a14013,a0c28403,a0204c87,a3200f88,a1624180,a1a74380,a2840306,a0e0401c
a181c209,a0c10886,a124c308,a0604a98,a04103b6,a2249205,a184c70a,a1200708,a4060125,a0210735,a128c51d,a4c38192
a16b8424,a02285a3,a2440e84,a2800083,a1a303a5,a1a4490f,a8008502,a603c084,a1014706,a084cd97,a0010301,a0a04881
a0e1c106,a062c000,a220e13e,a0e180a8,a1e0ca00,a0630236,a1a5c082,a0405194,a045cb09,a0800908,a1050800,a2a040d4
a101c297,a1800e02,a1688a39,a006828b,a1440a0c,a0e0048a,a0610595,a106c107,a0054105,a5e6c385,a3028f06,a4c08082
a0870119,a2004802,a0008483,a1009696,a28742a8,a1a0c3a7,a0648119,a041c10e,a1e38586,a3214001,a203c308,a0014800
a1e30195,a382828c,a3010d11,a060888c,a3c44d80,a2400181,a0c54816,a004400e,a0010c81,a0c3081d,a1220190,a0c300a6
a922090b,a0a54288,a3e74397,a0054798,a1a6d034,a2c04982,a040889a,a0804592,a1428c02,a061c687,a1618c8e,a0008503
a4804102,a0878983,a0044403,a02643a8,a005459a,a226418a,a1604097,a385021f,a205c405,a0414c88,a103c78d,a1a0d00a
a368c31f,a082480f,a1214411,a0608686,a464088f,a02f8395,a18049ad,a3210880,a1e30688,a0ea450b,a3e10904,a042c780
a1808009,a001c406,a2808903,a1aa8187,a3a10387,a180800d,a1424009,a0e08507,a2098603,a0e048a7,a2e04509,a12cc20c
a1624590,a064031d,a0c1c885,a1e0cd01,a0a243a4,a2f10c16,a0ee418d,a0a20003,a065809c,a104c580,a2a2450e,a220140a
a084cb1e,a1410102,a0a08382,a149c60e,a1008d03,a162c506,a661d000,a121029c,a1a10a00,a0200382,a1200009,a0219887
a0044001,a063cf0b,a4a00006,a1008204,a5230e11,a1660713,a044570f,a1284198,a0421683,a0210887,a0834202,a0620496
a506c18a,a020c049,a4628443,a0c18603,a181c80c,a2a18a86,a225821a,a1c78504,a02dd00c,a1008983,a4234903,a4858280
a2c3c60d,a0e1d084,a140c107,a0c0c00b,a0800107,a0240089,a3e84504,a800c30d,a0e0c20c,a2218e15,a1614b0a,a2e00a9c
a1035e09,a0a14912,a127898d,a2658483,a0e0468f,a622819c,a1c24b86,a4cb8618,a02a4582,a1e1c291,a6804202,a1c00749
a0a1c20f,a480c004,a060c719,a3844003,a021840b,a0c44f97,a3c10423,a0418024,a3c00581,a0018132,a2220381,a1030105
a2e44015,a1048683,a1e04980,a1c04223,a1c58501,a6e0411a,a1c00281,a0a907aa,a0830488,a1048493,a0414023,a3e240a4
a1001994,a3620680,a7280682,a5e44599,a042c292,a0288a07,a045809a,a0038934,a0608892,a2400317,a0a3c287,a0e5a28d
a4000c90,a0024002,a0044207,a022410d,a082881a,a188c492,a0208a83,a0e01885,a2c6010d,a084c691,a1448496,a101c718
a2214191,a34b008c,a0c3d283,a6460186,a0c4808c,a1218004,a0831006,a2420c9f,a3a08504,a0008089,a30ba603,a042c40c
a1a00a11,a1e08084,a0608b27,a1600031,a0a44083,a1a58781,a043018b,a3208607,a462482b,a0634301,a0634934,a08805bd
a0822482,a0c6cc80,a1409d93,a1e3c120,a0a7cc02,a36b8399,a1874780,a1858e8f,a0000882,a0840188,a5244202,a528d118
a0814184,a0a08082,a2650280,a080060c,a0c085ab,a4a1c187,a2a08801,a1200103,a0268389,a280c209,a162d000,a1c40601
